"Text";"User";"Timestamp";"Nshares";"Nlikes";"Nfriends";"Ncomments";"Replytoauthor"
"

Jeff,

 I have spoken to Brenda and everything looks good.  Matt Lutz was supposed 
to email me some language but I did not receive it.  I don't have his # so 
can you follow up.  When is the estimated closing date.  Let me know what 
else I need to be doing.

Phillip";"mith-austintx-com";962907490000;0;0;0;0;"phillip-allen
"
"

Tim,
 Matt sent you a email with his attempt to organize some of the cems and wscc 
data.  Tim H. expressed concern over the reliability of the wscc data.  I 
don't know if we should scrap the wscc or just keep monitoring in case it 
improves.  Let me know what you think.

Phillip";"m-belden";962821030000;0;0;0;0;"phillip-allen
"
"

http://ecthou-webcl1.nt.ect.enron.com/gas/
       
All the gas reports are under west desk

Call Brian Hoskins for a password





";"bert-badeer";960213910000;0;0;0;0;"phillip-allen
"
"

Felix,

Network:
 login pallen
 pw ke7davis

Notes:
 pw synergi


My location is 3210B.

Phillip";"lix-buitron";960125890000;0;0;0;0;"phillip-allen
"
"

Jeff,

 I will respond to the offer on Monday.  There is a $35 Million expansion 
adding 250 jobs in Burnet.  I am tempted to hold for $3000/acre.  Owner 
financing would still work.   Do you have an opinion?

Phillip";"mith-austintx-com";959861770000;0;0;0;0;"phillip-allen
"
"

Beth,

Here are our addresses for DSL lines:


Hunter Shively
10545 Gawain
Houston, TX 77024
713 461-4130

Phillip Allen
8855 Merlin Ct
Houston, TX 77055
713 463-8626

Mike Grigsby
6201 Meadow Lake
Houston, TX 77057
713 780-1022

Thanks

Phillip";"th-perlman";954874330000;0;0;0;0;"phillip-allen
"
"

Steve,

Please remove Bob Shiring and Liz Rivera from rc #768.  

Thank you

Phillip Allen";"ephen-wolfe";952527550000;0;0;0;0;"phillip-allen
"
"

Go ahead and order the ac for #27.  
Can you email or fax a summary of all rents collected from August through 
December.  I need this to finish my tax return.
I have all the expense data but not rent collection.  Fax number is 
713-646-3239.

Thank you,

Phillip";"ryrichards7-hotmail-com";952526350000;0;0;0;0;"phillip-allen
"
"

Anymore details?  Is the offer above or below 675?

What else do you have in a clean 11cap in a good location with room to expand?
";"mith-austintx-com";952364470000;0;0;0;0;"phillip-allen
"
"

---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/03/2000 
12:30 PM ---------------------------


Tim Heizenrader
03/03/2000 07:25 AM
To: James B Fallon/HOU/ECT@ECT, Phillip K Allen/HOU/ECT@ECT
cc:  
Subject: Western Strategy Summaries

Slides from yesterday's meeting are attached: 
";"ke-grigsby";952002730000;0;0;0;0;"phillip-allen
"
"

It is ok to let the deposit rollover on #13 if there is no interruption in 
rent.";"ryrichards7-hotmail-com";951996730000;0;0;0;0;"phillip-allen
"
"

Imelda,

Please switch my sitara access from central to west and email me with my 
password.

thank you,

Phillip";"elda-frayre";951918430000;0;0;0;0;"phillip-allen
"
"

George,

 Can you please call my credit desk at 713-853-1803.  They have not received 
any financials for ACN Power.  

Thanks,

Phillip Allen";"orge-rahal-acnpower-com";949858330000;0;0;0;0;"phillip-allen
"
"

Kim,

 Doublecheck with Julie G. , but I think it ok to pay Jan. demand charges.
";"mberly-olinger";949853890000;0;0;0;0;"phillip-allen
"
"

I think Steven Wolf is the person to talk to about moving Kim Olinger to a 
different RC code.";"bert-superty";949853770000;0;0;0;0;"phillip-allen
"
"

Jim,

 Updated curves will be sent no later than 11 am on Monday 2/7.  I want Keith 
to be involved in the process.  He was out today.
 
 Sorry for the slow turnaround.

Phillip";"m-brysch";949599190000;0;0;0;0;"phillip-allen
"
"

Tara, 

 This note is documentation of my approval of granting executing id's to the 
west cash traders.
 Thank you for your help.

Phillip";"ra-sweitzer";949414990000;0;0;0;0;"phillip-allen
"
"

Mary 

Received an email from you on 1/7, but there was no message.  Please try 
again.

Phillip";"ryrichards7-hotmail-com";947232490000;0;0;0;0;"phillip-allen
"
"

What did mary write?  Stage misses you?  I sent 2 emails.

Maybe mary is stalking gary ";"tti99-hotmail-com";946995250000;0;0;0;0;"phillip-allen
"
"

Tim,

mike grigsby is having problems with accessing the west power site.  Can you 
please make sure he has an active password.  

Thank you,

Phillip";"m-heizenrader";988877110000;0;0;0;0;"phillip-allen
"
"

Jim,

Is there going to be a conference call or some type of weekly meeting about 
all the regulatory issues facing California this week?  Can you make sure the 
gas desk is included.

Phillip";"mes-steffes";988708510000;0;0;0;0;"phillip-allen
"
"

John,

Regarding the employment agreement, Mike declined without a counter.  Keith 
said he would sign for $75K cash/$250 equity.  I still believe Frank should 
receive the same signing incentives as Keith.  

Phillip";"hn-lavorato";986469550000;0;0;0;0;"phillip-allen
"
"

Please approve Mike Grigsby for Bloomberg.  

Thank You,
Phillip Allen";"formation-management";983978710000;0;0;0;0;"ina-rangel
"
"

Reagan,

Here is the cost estimate and proforma prepared by George and Larry.  I am 
faxing the site plan, elevation, and floor plans.





Phillip";"ehmann-yahoo-com";983882890000;0;0;0;0;"phillip-allen
"
"

Al,

I was not going to do the MS this year.  Thanks for the offer though.

All is well here.  We went to Colorado last week and the kids learned to 
ski.  Work is same as always.
How are things going at New Power?  Is there any potential?

Phillip";"-pollard";983792050000;0;0;0;0;"phillip-allen
"
"

---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/05/2001 
01:59 PM ---------------------------
   
	
	
	From:  Phillip K Allen                           03/05/2001 10:37 AM
	

To: jim123@pdq.net
cc:  
Subject: 


";"m123-pdq-net";983716390000;0;0;0;0;"phillip-allen
"
"

I will email you an updated operating statement with Nov and Dec tomorrow 
morning.  What did the seguin doctor think of the place.  

How much could I get the stagecoach appraised for?  Do you still do 
appraisals?  Could it be valued on an 11 or 12 cap?";"mith-austintx-com";981473590000;0;0;0;0;"phillip-allen
"
"

Lucy,

Here is a final 12/01 rentroll for you to save.  My only questions are:

1.  Neil Moreno in #21-he paid $120 on 11/24, but did not pay anything on 
12/01.  Even if he wants to swich to bi-weekly, he needs to pay at the 
beginning 
     of the two week period.  What is going on?

2.  Gilbert in #27-is he just late? 


Here is a file for 12/08.";"agecoachmama-hotmail-com";976114930000;0;0;0;0;"phillip-allen
"
"

Send it to Ina Rangel she can forward it to appropriate traders.  There are 
too many to list individually";"idgette-anderson";981381970000;0;0;0;0;"phillip-allen
"
"

Susan,

Raised your issue to Sally Beck.  Larry is going to spend time with you to 
see if he can live without any reports.  Also some IT help should be on the 
way.

Phillip";"san-scott";981309730000;0;0;0;0;"phillip-allen
"
"

---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/02/2001 
03:43 PM ---------------------------
   
	
	
	From:  Phillip K Allen                           01/31/2001 01:23 PM
	

To: cbpres@austin.rr.com
cc: llewter@austin.rr.com 
Subject: 


";"cquestc-aol-com";981044710000;0;0;0;0;"phillip-allen
"
"

Susan hours are out of hand.  We need to find a solution.  Let's meet on 
Monday to assess the issue

Phillip";"ffrey-gossett";981041890000;10;10;10;10;"phillip-allen
"
"

Got your email.  I will let Jacques know.  I guess we can work out the finer 
points next week.  The bank here in Houston is dealing with their auditors 
this week, so unfortunately I did not hear from them this week.  The are 
promising to have some feedback by Monday.  I will let you know as soon as I 
hear from them.

Phillip";"pres-austin-rr-com";981041590000;0;0;0;0;"phillip-allen
"
"

8500?????  That's twice as valuable as your car!  Can't you get a used one 
for $3000?";"ff-richter";980944930000;0;0;0;0;"phillip-allen
"
"

Nice.  how much?

Are you trying to keep the economy going?";"ff-richter";980941570000;0;0;0;0;"phillip-allen
"
"

I would support Matt Lenhart's promotion to the next level.

I would oppose Ken Shulklapper's promotion.";"drea-richards";976022530000;0;0;0;0;"phillip-allen
"
"

please remove my name and information from the registered user list.  Do not 
sell my information.

Phillip Allen";"l-living-com";976022410000;0;0;0;0;"phillip-allen
"
"

We do not understand our VAR.  Can you please get us all the detailed reports 
and component VAR reports that you can produce?

The sooner the better.

Phillip";"adimir-gorny";978941710000;0;0;0;0;"phillip-allen
"
"

Ted,

Andrea in the analysts pool asked me to fill out this request.  Can you help 
expedite this process?


Phillip

";"land";978610930000;0;0;0;0;"phillip-allen
"
"

I can't open a winmail.dat file.  can you send in a different format";"ewter-austin-rr-com";978525610000;0;0;0;0;"phillip-allen
"
"

George,

     Your attachment is not opening on my computer.  Can you put the info in 
Word instead?

Thanks,

Phillip
";"pres-austin-rr-com";973087510000;0;0;0;0;"phillip-allen
"
"

---------------------- Forwarded by Phillip K Allen/HOU/ECT on 11/01/2000 
11:33 AM ---------------------------


Jeff Richter
10/20/2000 02:16 PM
To: Phillip K Allen/HOU/ECT@ECT
cc:  
Subject: Generation

http://westpower.enron.com/ca/generation/default.asp
";"tthew-lenhart";972994390000;0;0;0;0;"phillip-allen
"
"

 


Greg,

I forgot to mention the Perrin Oaks ideas.  They are on the attached memo.

Have a good weekend.

Phillip";"horse-keyad-com";1002236110000;0;0;0;0;"k--allen
"
"

John:
Please call Lavorato's secretary, Kim, and schedule a time to talk with John 
ASAP.
Thanks,
John";"hn-griffith";971023690000;0;0;0;0;"john-arnold
"
"

Hey:
I just want to confirm the trades I have in your book.
Trade #1.  I sell 4000 X @ 4652

Trade #2. I buy 4000 X @ 4652
  I sell 4000 X @ 4902

Trade #3 I buy 4000 X @ 5000
  I sell 4000 F @ 5000


Net result: I have 4000 F in your book @ 4902.
Thanks, 
John";"vin-presto";970594810000;0;0;0;0;"john-arnold
"
"

http://ecthou-webcl1.nt.ect.enron.com/research/Weather/WeatherMain.htm";"tch-quigley";970500190000;0;0;0;0;"john-arnold
"
"

John:
I have asked Mike and Larry to spend half an hour each talking to you about 
opportunities on the gas floor.  Please advise if the following schedule is 
unacceptable.  I will be leaving today at 2:15.
Larry 4:00-4:30
Mike 4:30-5:00

Thanks,
John";"hn-griffith";970407910000;0;0;0;0;"john-arnold
"
"

don't know.  think a little bit of everyone as the storage guys own it all.




slafontaine@globalp.com on 12/05/2000 09:37:01 AM
To: jarnold@enron.com
cc:  
Subject: mar/apr



im so sick for getting out of that-john who 's getting squeezed on the mar? 
hope
its not you. pretty sure it isnt so safe to ask you?



";"afontaine-globalp-com";976083370000;0;0;0;0;"john-arnold
"
"

someone had a foul odor for sure




Eric Thode@ENRON
11/30/2000 08:25 AM
To: John Arnold/HOU/ECT@ECT
cc:  
Subject: Photograph for eCompany Now

Thanks for your help with the photographer.  I just heard from Ann Schmidt 
and Margaret Allen that he was, shall we say, a fragrant photographer.  

";"ic-thode";975574090000;0;0;0;0;"john-arnold
"
"

---------------------- Forwarded by John Arnold/HOU/ECT on 09/07/2000 05:15 
PM ---------------------------


Zerilli, Frank <fzerilli@POWERMERCHANTS.COM> on 09/06/2000 06:46:47 AM
To: 'jarnold@enron.com' <jarnold@enron.com>
cc:  
Subject: concord Crash




 concord

 - concord.jpg
";"ian-hoskins";968266450000;0;0;0;0;"john-arnold
"
"

---------------------- Forwarded by John Arnold/HOU/ECT on 09/06/2000 06:59 
PM ---------------------------


Zerilli, Frank <fzerilli@POWERMERCHANTS.COM> on 09/06/2000 06:46:47 AM
To: 'jarnold@enron.com' <jarnold@enron.com>
cc:  
Subject: concord Crash




 concord

 - concord.jpg
";"aig-breslau";968186290000;0;0;0;0;"john-arnold
"
"

Next Wednesday....




Jennifer Shipos
09/06/2000 05:07 PM
To: John Arnold/HOU/ECT@ECT
cc:  
Subject: Happy Hour

Should we have a kick-off  happy hour next week?  Sandra told me to start 
working on it.

";"nnifer-shipos";968180830000;0;0;0;0;"john-arnold
"
"

Yea...can you come by around 5:30?




Sarah Wesner@ENRON
09/06/2000 03:29 PM
To: John Arnold/HOU/ECT@ECT
cc:  
Subject: Re:  

Progress is good.  Do you want to meet up today? 



John Arnold@ECT
09/06/2000 11:51 AM
To: Sarah Wesner/Corp/Enron@Enron
cc:  

Subject: 

just checking up on the status of the margin project....




";"rah-wesner";968174950000;0;0;0;0;"john-arnold
"
"

Cliff:
I have 4 tix to the Black Crowes for you, third row center.  Where's your 
office now? I'll come up and say hello this afternoon if you have a minute.
John   ";"iff-baxter";968077270000;0;0;0;0;"john-arnold
"
"

---------------------- Forwarded by John Arnold/HOU/ECT on 08/09/2000 05:47 
PM ---------------------------


Zerilli, Frank <fzerilli@POWERMERCHANTS.COM> on 08/09/2000 08:49:34 AM
To: 'jarnold@enron.com' <jarnold@enron.com>
cc:  
Subject: suicide at press conference




 suicide

 - suicide.avi
";"san-wood";965762950000;0;0;0;0;"john-arnold
"
"

Hey:
Do you have any extras for tonight's game?
John


PS.   How's you bowl";"z-taylor";965661850000;0;0;0;0;"john-arnold
"
"

JP:
Hope things are going well. 
I'm trying to get the email address of your new partner, Tracy.
If you have, can you forward?
Thx,
John";"otieno-cmsenergy-com";965552950000;0;0;0;0;"john-arnold
"
"

thx




Phil Clifford
08/02/2000 04:25 PM
To: John Arnold/HOU/ECT@ECT
cc:  
Subject: west africa


thought you might find this interesting. looks like heavy tropical wave 
moving off the coast.

http://www.intellicast.com/Tropical/World/UnitedStates/AtlanticLoop/

";"il-clifford";965240710000;0;0;0;0;"john-arnold
"
"

The following is a summary of the trades EES did today:
 
  # buys  # sells
Sep  5 / day  5 / day 
Oct  4 / day
Nov-Mar 3 / day  2 / day
Apr-Oct  1.5 / day 2.5 / day
 
Total contracts traded = 2045

Thought you should know...
John";"hn-lavorato";965237410000;0;0;0;0;"john-arnold
"
"

Hello:
There is one feature that has not been transferred to the new stack manager.  
When I sort by both counterparty and product at the bottom of the screen, the 
position summary does not sort by both product and counterparty, just by 
product.  It would be very useful if you can replace this. 
Thanks,
John";"vid-forster";965236630000;10;10;10;10;"john-arnold
"
"

Please top level the following P&L out of my book because the market settled 
limit down.

 End of day position Amount settle was off in my estimation  Total amount 

V0  -1700   -.035     595,000
X0  6400   -.025     -1,6000,000    
Z0  -1450   -.020     290,000 
F1  4750   -.015     -712,500
          --------------- 
          -1,427,500";"tch-quigley";962731450000;0;0;0;0;"john-arnold
"
"

How about 4:00 ??




Andy Zipper@ENRON
06/30/2000 05:02 PM
To: John Arnold/HOU/ECT@ECT
cc:  
Subject: Re: options and other stuff  

Pick a time on Wednesday to come by and take a look at the Options manager.

Have a good 4th.

-andy

";"dy-zipper";962700130000;0;0;0;0;"john-arnold
"
"

Tanya:
On Friday I emailed a new vol curve to use for VAR testing.  I was under the 
impression that you could apply this vol curve to the price book and storage 
book and have a new experimental VAR number by Monday. I have not received 
any response.  Please reply with status of this project.
John";"nya-tamarchenko";960283150000;0;0;0;0;"john-arnold
"
"

Please use this vol curve for a dry run to figure out var for my book, NG 
price, and Jim's book, Storage, and communicate the results.  Thanks,John";"nya-tamarchenko";959802910000;0;0;0;0;"john-arnold
"
"

are you sure...have you ever been to bon coupe before
don't knock it till tou try it";"nnifer-burns";954948130000;0;0;0;0;"john-arnold
"
"

2 options:
Either we leave from work and you watch me get a haircut for 20 minutes or...
I pick you up around 6:30...";"nnifer-burns";954945850000;0;0;0;0;"john-arnold
"
"

Hello...
Despite my thoughts, you like baseball.   So the question is do you like art  
(as in musuems)  ?
I'm leaning towards yes but don't know for sure.";"nnifer-burns";954942430000;0;0;0;0;"john-arnold
"
"

Please approve Larry May for a trader id on EOL for pipe options book for 
US gas.
Thanks,
John
3-3230";"ra-sweitzer";954844030000;0;0;0;0;"john-arnold
"
"

Please grant Steven Vu execution privileges on EOL
John Arnold";"chael-corbally";951934150000;0;0;0;0;"john-arnold
"
"

Pleas approve Tricia's request to become an authorized EOL trader";"ra-sweitzer";951933910000;0;0;0;0;"john-arnold
"
"

Alan:
I received your email.  I'll make sure it goes through the proper channels.   
It may help if you give specific positions that interest you most as Enron is 
such a big place, it will help focus the resume to the right people.
John";"an_batt-oxy-com";973619650000;0;0;0;0;"john-arnold
"
"

Hot like wasabi when I bust rhymes
Big like Leann Rimes
Because I'm all about value";"m-ward";989338090000;0;0;0;0;"john-arnold
"
"

it's an aquired taste


From: Kim Ward/ENRON@enronXgate on 05/09/2001 02:25 PM
To: John Arnold/HOU/ECT@ECT
cc:  
Subject: 

those things are TERRIBLE!!!!

";"m-ward";989337910000;0;0;0;0;"john-arnold
"
"

i couldnt do it.  it took 13 minutes for my alarm to wake me up.";"m-ward";989316070000;0;0;0;0;"john-arnold
"
"

is that with or without two snoozes?


From: Kim Ward/ENRON@enronXgate on 05/08/2001 01:24 PM
To: John Arnold/HOU/ECT@ECT
cc:  
Subject: RE:  

and get up at 5:07 a.m.?


 -----Original Message-----
From:  Arnold, John  
Sent: Tuesday, May 08, 2001 1:07 PM
To: Ward, Kim S.
Subject:  

wanna get sauced after work?

";"m-ward";989249350000;0;0;0;0;"john-arnold
"
"

I almost forget about your debt, but then your BMW 315ia reminded me of it.";"ithf-epenergy-com";973619350000;0;0;0;0;"john-arnold
"
"

only if you promise to post regular updates on the trucking market.  

call chris gaskill to get the password.  


From: Matthew Arnold/ENRON@enronXgate on 05/04/2001 10:22 AM
To: John Arnold/HOU/ECT@ECT
cc:  
Subject: 

 sign me up for the gas message board

";"tthew-arnold";988891570000;0;0;0;0;"john-arnold
"
"

Hello:
I am not able to pull up the link for the short term outlook for natural 
gas.  Can you please make sure the link is updates.
Thanks,
John";"ndrick-brown-eia-doe-gov";973619170000;0;0;0;0;"john-arnold
"
"

absolutely...though i'm not sure how you do it.  call chris gaskill and he 
should be abl to help.


From: Kevin McGowan/ENRON@enronXgate on 05/04/2001 09:33 AM
To: John Arnold/HOU/ECT@ECT
cc:  
Subject: 

John,

Could I get access to the gas message board?

KJM

";"vin-mcgowan";988888510000;0;0;0;0;"john-arnold
"
"

Stephanie:
Please set up Mike Maggi for trding on Intercontinental Exch.
Thanks,
John";"ephanie-sever";973618570000;0;0;0;0;"john-arnold
"
"

hey:
just wondering if you're still up for sailing lessons and if you've found out 
anything???";"m-ward";986687650000;0;0;0;0;"john-arnold
"
"

Took the wrong checkbook to work Friday.  Will call your courier on Monday 
hopefully.
John";"chael-gapinski-ubspainewebber-com";986675950000;0;0;0;0;"john-arnold
"
"

assume we're driving the 328 up to mom this friday after work";"tthew-arnold";986376370000;0;0;0;0;"john-arnold
"
"

assuming we're driving the car to dallas tomorrow after work...";"tthew-arnold";986375410000;0;0;0;0;"john-arnold
"
"

arrive some time friday night.  
leave some time sunday.




Karen Arnold <klarnold@flash.net> on 04/04/2001 09:36:32 PM
To: john.arnold@enron.com, Matthew.Arnold@enron.com
cc:  
Subject: Friday??


Fax or email me your itinerary for the weekend.  Fax 972-690-5151!  Mom

";"arnold-flash-net";986343610000;0;0;0;0;"john-arnold
"
"

do you still have the magazine and if so can you send it to me?




Zerilli, Frank <fzerilli@POWERMERCHANTS.COM> on 03/23/2001 12:05:51 PM
To: 'jarnold@enron.com' <jarnold@enron.com>
cc:  
Subject: Jarnold




 Jarnold

 - Jarnold.jpg

";"erilli-powermerchants-com";986343550000;0;0;0;0;"john-arnold
"
"

no actually i was here until 700  ... filming a movie


From: Margaret Allen@ENRON on 11/02/2000 08:25 AM
To: John Arnold/HOU/ECT@ECT
cc:  
Subject: NYC rocks  

my, my, my, you must have left early yesterday to just have received my 
email.  

Have I told you how much I love it here?  I think I need to move back...

";"rgaret-allen";973069690000;0;0;0;0;"john-arnold
"
"

---------------------- Forwarded by John Arnold/HOU/ECT on 04/04/2001 08:31 
AM ---------------------------
   
	Enron North America Corp.
	
	From:  Dutch Quigley                           04/04/2001 07:46 AM
	

To: John Arnold/HOU/ECT@ECT
cc:  
Subject: 

http://gasmsgboard.corp.enron.com/msgframe.asp
";"ke-maggi";986292610000;0;0;0;0;"john-arnold
"
"

i've realized i'm too old to stay up til 1 on a school night";"m-ward";986205310000;0;0;0;0;"john-arnold
"
"

that's fine




	Heather Alon
	11/01/2000 12:59 PM
	
To: John Arnold/HOU/ECT@ECT
cc:  
Subject: video shoot

Hi John,
 John Lavorato needs to leave earlier tonight so we will need to start 
shooting a little earlier today, around 5:00. Will this work for you?

Thanks,
Heather
3-1825
 

";"ather-alon";973005310000;0;0;0;0;"john-arnold
"
"

Dave:
Can you do the same printout today of children for product #33076
Thanks
John";"vid-forster";972993610000;0;0;0;0;"john-arnold
"
"

just a vicious rumor... my birthday's not till next year.




Jennifer Shipos
03/08/2001 12:22 PM
To: john.arnold@enron.com
cc:  
Subject: 

Tomorrow, eh!  How old are you going to be... 20?

";"nnifer-shipos";983973670000;0;0;0;0;"john-arnold
"
"

i dont know   sounds good to me




Greg Whalley
02/28/2001 05:32 PM
Sent by: Liz M Taylor
To: John Arnold/HOU/ECT@ECT
cc:  
Subject: Greg's Bill

Johnny,

What does Greg owe you for the champagne?  Is it $896.00?


Liz
";"eg-whalley";983796250000;0;0;0;0;"john-arnold
"
"

Hard to believe , huh




slafontaine@globalp.com on 03/05/2001 11:31:02 AM
To: John.Arnold@enron.com
cc:  
Subject: Re: ecommerce



just saw your picture ion that magazine-one would never imagione that smart 
guy
was doing the  rerun dance at the edf man pary just over a year ago!!!



";"afontaine-globalp-com";983778850000;0;0;0;0;"john-arnold
"
"

probably because jeff's out,, but let's go ahead and have it


To: John Arnold/HOU/ECT@ECT
cc:  
Subject: Re: CANCELLED - Trader's Roundtable  

Yes, I'm around all week and, I don't know why the Tuesday meeting was 
cancelled.

Gary

";"ry-hickerson";983713390000;0;0;0;0;"john-arnold
"
"

ok.
i would not describe him as the hardest working man in the energy business.




slafontaine@globalp.com on 03/02/2001 08:54:44 AM
To: jarnold@enron.com
cc:  
Subject: silverman



i say we make a pact, next time silver man calls in sick on a friday after a
typical nite out you and i cut him off for the entire next week. deal?



";"afontaine-globalp-com";983444470000;0;0;0;0;"john-arnold
"
"

maybe cal 2.  




Caroline Abramo@ENRON
03/02/2001 08:00 AM
To: John Arnold/HOU/ECT@ECT
cc:  
Subject: thanks/ follow up

Thanks for talking to Catequil...

any chance we get 02 and 03 on-line soon?

";"roline-abramo";983444410000;0;0;0;0;"john-arnold
"
"

can you send it through lavo.  he's suppose to pay for it.
thanks,
john




Liz M Taylor
02/09/2001 09:16 AM
To: John Arnold/HOU/ECT@ECT
cc:  
Subject: Super Bowl

Hi Johnnie,

I think you may have encrypted your reply about the reimbursement of the air 
fare from the Super Bowl.  I was unable to read your response.  Please send 
again.

Liz

";"z-taylor";981648070000;0;0;0;0;"john-arnold
"
"

can you change deal 27 (paribas) today to NYMEX from gas daily";"rol-mclaughlin";981622510000;10;10;10;10;"john-arnold
"
"

hey hon:
had a great time last night.  you're one ok chick.
john";"rgaret-allen";981620410000;0;0;0;0;"john-arnold
"
"

you fucker that's my trade.   i was trying to buy nines the last 20 minutes.  
all i got was scraps.  50-100.  i think it's a great trade.




slafontaine@globalp.com on 02/07/2001 01:41:44 PM
To: John.Arnold@enron.com
cc:  
Subject: Re: weather pop



that is nuts-good sale-im gonna sell jun or july otm calls at some point



";"afontaine-globalp-com";981472270000;0;0;0;0;"john-arnold
"
"

this is the move i was talking about.   v/x implicitly trading 5.5 right now 
because cal 2 is weak.  some sell side deal got done there but jv is strong";"afontaine-globalp-com";981471430000;0;0;0;0;"john-arnold
"
"

just sold 500 q/u at .05      that was the pop i'm looking for";"afontaine-globalp-com";981468790000;0;0;0;0;"john-arnold
"
"

you will have 4 tix.  make your plans




Liz M Taylor
02/07/2001 09:08 AM
To: John Arnold/HOU/ECT@ECT
cc:  
Subject: Destiny's Child

John,

Any word on the tickets?  If I can get just four that would be just fine.  If 
not, please no worries.  Many Thanks,  Liz

";"z-taylor";981456910000;0;0;0;0;"john-arnold
"
"

---------------------- Forwarded by John Arnold/HOU/ECT on 02/04/2001 09:12 
PM ---------------------------


Mark Sagel <msagel@home.com> on 02/04/2001 09:03:25 PM
To: John Arnold <jarnold@enron.com>
cc:  
Subject: Natural update



?
 - ng2001-0204.doc
";"ke-maggi";981237250000;0;0;0;0;"john-arnold
"
"

Bubbie:
You are hereby invited to the tenth annual Spectron/Enron Celebrity Tony's 
dinner featuring Brian Tracy, John Arnold, and Mike Maggi.


Regrets only,


John";"ffrey-shankman";978972550000;0;0;0;0;"john-arnold
"
"

please schedule a round of interviews with john griffith with scott, hunter, 
phillip, and tom asap (today if possible).
thx";"a-rangel";978509710000;0;0;0;0;"john-arnold
"
"

John:
I would like for you to come talk to a couple more people on the gas floor 
about a possible position down the road.  My assistant Ina Rangle is going to 
schedule a couple interviews.  Please coordinate with her.
John";"hn-griffith";978454150000;0;0;0;0;"john-arnold
"
"

greg:
what is the (correct) formula you devised for profitability on last trade is 
mid?";"eg-whalley";978425590000;0;0;0;0;"john-arnold
"
